NAME,URL
ミーティア(MEETIA) ,http://meetia.net/
CINRA.NET -シンラ-,https://www.cinra.net/
Real Sound｜リアルサウンド,http://realsound.jp/
indiegrab,http://indiegrab.jp/
cotas,http://cotas.jp/
FUZE,https://www.fuze.dj/
FLJ TOKYO,http://fljtokyo.com/
EYESCREAM,https://eyescream.jp/
FNMNL (フェノメナル) ,http://fnmnl.tv/
WREP,https://wrep.jp/
Black File,http://blackfile.spaceshowertv.com/
地下アイドルまとめブログ,http://timtmb.com/
アイドル音源カレンダー,http://blog.livedoor.jp/sakui9/
タワレコTV,http://towershibuya.jp/towerrecordstv
OTOTOY,https://ototoy.jp/
サウンド＆レコーディング・マガジン,http://rittor-music.jp/sound/
Rittor Music Magazine,http://rittor-music.jp/
ミュージック・マガジン,http://musicmagazine.jp/
藤本健の“DTMステーション”,http://www.dtmstation.com/
