,date,title,dj,categories,featured_image,stream_url,playlist,duration,albums,highlights,id,stats
0,2016-08-09 00:00:00,Vol. 01 后摇滚！！＋偶像组合？？＝ sora tob sakana,marusan,"['NO MUSIC, NO IDOL']",/images/banners/1.jpg,http://www.lizhi.fm/1913563/2550147840425133062,"1. sora tob sakana「海に纏わる言葉」(album ver.)
2. sora tob sakana「夏の扉」(soundcloud ver.)
3. sora tob sakana「広告の街」(album ver.)
4. 🎙️
5. sora tob sakana「夜空を全部」(single ver.)
6. sora tob sakana「Moon Swimming Weekender」(single ver.)
7. 🎙️
8. sora tob sakana「魔法の言葉」(single ver.)
9. sora tob sakana「まぶしい」(soundcloud ver.)
10. 🎙️
11. sora tob sakana「おやすみ」(soundcloud ver.)",2182,"* [「sora tob sakana」](http://ototoy.jp/_/default/p/64673)
* [「夜空を全部」](http://ototoy.jp/_/default/p/56860)
* [「魔法の言葉」](http://ototoy.jp/_/default/p/59863)",,2550147840425133062,"{""play"": 2526, ""download"": 120, ""commentCount"": 31}"
1,2016-08-12 00:00:00,Vol. 02 官能音乐・石野卓球,marusan,['Track-Makers tracking'],/images/banners/2.jpg,http://www.lizhi.fm/1913563/2550688377092409862,"1. 石野卓球「Rapt In Fantasy」
2. 🎙️
3. 石野卓球「Selene」
4. 石野卓球「Dawn」
5. 🎙️
6. 加藤みどり、ひばり児童合唱団「カランコロンの唄」
7. 人生「カランコロンの唄」
8. 人生「オールナイトロング (おやすみヴァージョン)」
9. 人生「世界あの店この店」
10. 🎙️
11. 石野卓球「Lunatique」",2321,"* [「LUNATIQUE」](http://t.cn/RtprUmH)
* [「LUNATIQUE」](http://t.cn/Rtpr4nu)",,2550688377092409862,"{""play"": 2243, ""download"": 105, ""commentCount"": 18}"
2,2016-08-19 00:00:00,Vol. 03 我们来听新唱片！,marusan,['NEW releases'],/images/banners/3.jpg,http://www.lizhi.fm/1913563/2551994715020845062,"1. Especia「Savior」（from 4th EP「Mirage」2016/08/10）
2. 婦人倶楽部「グルメ紀行」（from 1st album「フジンカラー」2016/07/13）
3. 🎙️
4. 細野晴臣「Mohican」（Online Single 2016/04/06）
5. クウチュウ戦「魔法が解ける」（from 3rd mini-album「超能力セレナーデ」2016/08/03）
6. 🎙️
7. 坂本慎太郎「できれば愛を」（from 3rd album「できれば愛を」2016/07/27）
8. Hauptharmonie「Kidnapper Blues~人攫いの憂鬱~」（from 2nd Album「Herz über Kopf」2016/07/12）
9. 🎙️
10. BELLRING少女ハート「asthma」（5人ver.）（from 1st collection「BEST BRGH」2016/08/16）
11. 水曜日のカンパネラ「ツチノコ」（from 1st major EP「UMA」2016/06/22）",2458,"* [「Mirage」](http://ototoy.jp/_/default/p/65308)
* [「Especia」](https://soundcloud.com/especia)
* [「Mohican」](http://mora.jp/package/43000005/VE3WA-17617/)
* [「超能力セレナーデ」](http://ototoy.jp/_/default/p/64908)
* [「できれば愛を」](http://ototoy.jp/_/default/a/64469)
* [「BEST BRGH」](http://ototoy.jp/_/default/p/65204)
* [「UMA」](http://ototoy.jp/_/default/a/85357)",,2551994715020845062,"{""play"": 1295, ""download"": 99, ""commentCount"": 24}"
3,2016-08-26 00:00:00,Vol. 04 梦见另一个夏夜・DE DE MOUSE,marusan,['Track-Makers tracking'],/images/banners/4.jpg,http://www.lizhi.fm/1913563/2553284633284748294,"1. DE DE MOUSE「remember night」（from new EP「summer twilight」2016/08/17）
2. DE DE MOUSE「summer twilight」（from new EP「summer twilight」2016/08/17）
3. 🎙️
4. DE DE MOUSE「milkyway planet」（from EP「to milkyway planet」2013/08/16）
5. DE DE MOUSE「flicks tonight」（from album「sky was dark」2012/10/17）
6. 🎙️
7. DE DE MOUSE & 水曜日のカンパネラ「妖怪地獄音頭」（青山联合国大学2015盂兰盆舞活动「BDM」提供曲，from De De Mouse’s SoundCloud）
8. 木村カエラ「Humpty Dumpty」（from 木村カエラ’s album「+1」2008/04/02）
9. 🎙️
10. DE DE MOUSE「a dozen raindrops」（from album「farewell holiday!」2015/12/02）",2480,"* [「summer twilight」](http://ototoy.jp/_/default/p/65169)
* [「milkyway planet」](https://itunes.apple.com/jp/album/milkyway-planet-single/id731273870)
* [「sky was dark」](http://ototoy.jp/_/default/p/30479)
* [「farewell holiday!」](http://ototoy.jp/_/default/p/58001)
* [「+1」](https://itunes.apple.com/jp/album/+1-tong-chang-pan/id285198465)",,2553284633284748294,"{""play"": 1768, ""download"": 109, ""commentCount"": 18}"
4,2016-09-02 00:00:00,Vol. 05 这个 Rapper 脖子上纹着杜尚的蒙娜丽莎・KOHH,marusan,['J-Hip hop'],/images/banners/5.jpg,http://www.lizhi.fm/1913563/2554597714309330438,"1. KOHH「飛行機」（from 1st album「梔子」2015/01/01）
2. KOHH「iPhone5」（from 1st album「梔子」2015/01/01）
3. 🎙️
4. KOHH「Fuck Swag」（from 2nd album「MONOCHROME」2014/07/30）
5. KOHH「貧乏なんて気にしない」（from 2nd album「MONOCHROME」2014/07/30）
6. KOHH「友達」（from 1st album「梔子」2015/01/01）
7. 🎙️
8. KOHH「Dirt Boys (feat. Dutch Montana Loota)」（from 3rd album「DIRT」2015/10/28）
9. KOHH「Living Legend」（from 3rd album「DIRT」2015/10/28）
10. KOHH「Business and Art」（from 3rd album「DIRT II」2015/10/28）
11. 🎙️
12. KOHH「Where You at?」（from 1st album「梔子」2015/01/01）",2690,* 各专辑日亚加日 iTunes 应该都可以买到。,,2554597714309330438,"{""play"": 3622, ""download"": 111, ""commentCount"": 19}"
5,2016-09-09 00:00:00,Vol. 06 森林中的现代音乐少女・Maison Book Girl,marusan,"['NO MUSIC, NO IDOL']",/images/banners/6.jpg,http://www.lizhi.fm/1913563/2555606984380017670,"1. Maison book girl「bath room (intro)」（from 1st album「bath room」2015/09/23）
2. Maison book girl「bath room」（from 1st album「bath room」2015/09/23）
3. Maison book girl「my cut」（from 1st album「bath room」2015/09/23）
4. 🎙️
5. Maison book girl「最後のような彼女の曲」（from 1st album「bath room」2015/09/23）
6. Maison book girl「snow irony」（from 1st album「bath room」2015/09/23）
7. 🎙️
8. ずんね from JC-WC「14才のおしえて」（from single「14才のおしえて」2015/11/18）
9. いずこねこ「last cat factory」（from 1st album「最後の猫工場」2012/08/04）
10. 🎙️
11. Maison book girl「blue light」（from 1st EP「summer continue」2015/03/30）",2282,"* [「bathroom」](http://ototoy.jp/_/default/p/56209)
* [「summer continue」](http://ototoy.jp/_/default/p/61520)
* [「14才のおしえて」](http://ototoy.jp/_/default/p/57974)
* [「最後の猫工場」](http://mora.jp/package/43000074/TCJPR0000129848)",,2555606984380017670,"{""play"": 1482, ""download"": 103, ""commentCount"": 20}"
6,2016-09-16 00:00:00,Vol. 07 那些让人难以舍弃的歌,marusan,['songs for a break'],/images/banners/7.jpg,http://www.lizhi.fm/1913563/2557068909643039238,"1. sora tob sakana「summer plan」（from 1st album「sora tob sakana」2016/07/26）
2. 🎙️
3. 石野卓球「Fetish」（from 10th(?) album「Lunatique」2016/08/03）
4. 🎙️
5. 水曜日のカンパネラ「フェニックス」（from 1st major EP「UMA」2016/06/22）
6. 🎙️
7. 乙女新党「ツチノコっていると思う...?」（from 2nd album「乙女新党 第二幕 ～旅立ちのうた～」2016/06/29）
8. 🎙️
9. DE DE MOUSE「old friend's song」（from 4th EP「to milkyway planet」2013/08/16）
10. 🎙️
11. KOHH「Be Me」（from 3rd album「DIRT」2015/10/28）
12. 🎙️
13. Maison book girl「last scene」（from 1st album「bath room」2015/09/23）
14. 🎙️
15. sora tob sakana「クラウチングスタート」（from 1st single「夜空を全部」2015/10/10）",2698,"* [「sora tob sakana」](http://ototoy.jp/_/default/p/64673)
* [「LUNATIQUE」](http://t.cn/RtprUmH)
* [「LUNATIQUE」](http://t.cn/Rtpr4nu=)
* [「UMA」](http://ototoy.jp/_/default/a/85357)
* [「乙女新党 第二幕 ～旅立ちのうた～」](http://ototoy.jp/_/default/p/63294)
* [「bathroom」](http://ototoy.jp/_/default/p/56209)
* [「夜空を全部」](http://ototoy.jp/_/default/p/56860)",,2557068909643039238,"{""play"": 1412, ""download"": 92, ""commentCount"": 10}"
7,2016-09-23 00:00:00,Vol. 08 From City To Urban・2010年代的 City Pop,minami,['brand new band'],/images/banners/8.jpg,http://www.lizhi.fm/1913563/2558376059315751430,"1. Cero「Yellow Magus」（from 3rd album「Obscure Ride」2015/05/27）
2. 王舟「ディスコブラジル (Alone)」（from 2nd album「PICTURE」2016/01/20）
3. 🎙️
4. Yogee New Waves「Climax Night (album version)」（from 1st album「PARAISO」2014/09/10）
5. never young beach「ちょっと待ってよ」（from 1st album「YASHINOKI HOUSE」2015/05/13）
6. 🎙️
7. Awesome City Club「涙の上海ナイト（from 1st album「Awesome City Tracks」 2015/4/8）
8. Suchmos「YMM」（from 1st album「THE BAY」2015/07/08）
9. 🎙️
10. Lucky Tapes「MOON」（from 2nd album「CIGARETTE & ALCOHOL」2016/07/06）",2552,"* [「Obscure Ride」](http://ototoy.jp/_/default/p/52326)
* [「Obscure Ride」](https://itunes.apple.com/jp/album/picture/id1068330026)
* [「PARAISO」](http://ototoy.jp/_/default/p/45060)
* [「YASHINOKI HOUSE」](http://ototoy.jp/_/default/p/52090)
* [「Awesome City Tracks」](http://mora.jp/package/43000005/NCS-10093/)
* [「The Bay」](http://ototoy.jp/_/default/p/53260)
* [「CIGARETTE & ALCOHOL」](http://ototoy.jp/_/default/p/63842)",,2558376059315751430,"{""play"": 2161, ""download"": 111, ""commentCount"": 17}"
8,2016-09-30 00:00:00,Vol. 09 Two OK Bands・空中战 x Lucky Tapes,marusan,['brand new band'],/images/banners/9.jpg,http://www.lizhi.fm/1913563/2559428300534342662,"1. クウチュウ戦「追跡されてる」（from 1st mini album「コンパクト」2015/05/13）
2. クウチュウ戦「Amore」（from 1st mini album「コンパクト」2015/05/13）
3. 🎙️
4. クウチュウ戦「雨模様です」（from 2nd mini album「Sukoshi Fushigi」2016/01/20)
5. クウチュウ戦「作られた歌」（from 1st mini album「コンパクト」2015/05/13）
6. 🎙️
7. Lucky Tapes「贅沢な罠」（from 2nd album「Cigarette & Alcohol」2016/07/06）
8. Lucky Tapes「パレード」（from 2nd album「Cigarette & Alcohol」2016/07/06）
9. 🎙️
10. Lucky Tapes「MILK」（from 2nd album「Cigarette & Alcohol」2016/07/06）
11. Lucky Tapes「TONIGHT!」（from 2nd album「Cigarette & Alcohol」2016/07/06）",2475,"* [「コンパクト」](http://ototoy.jp/_/default/p/51166)
* [「Sukoshi Fushigi」](http://ototoy.jp/_/default/p/59394)
* [「Cigarette & Alcohol」](http://ototoy.jp/_/default/p/63842)",,2559428300534342662,"{""play"": 1399, ""download"": 87, ""commentCount"": 14}"
9,2016-10-07 00:00:00,Vol. 10 宇多田光之后・大比良瑞希 x Okamoto Emi,marusan,['After Hikki'],/images/banners/10.jpg,http://www.lizhi.fm/1913563/2560764069721117190,"1. 大比良瑞希「TIME LIMIT」（from 1st Album「TRUE ROMANCE」2016/07/06）
2. 🎙️
3. 大比良瑞希「微熱」（from 1st Album「TRUE ROMANCE」2016/07/06）
4. 大比良瑞希「Sunday Monday」（from 1st Album「TRUE ROMANCE」2016/07/06）
5. 🎙️
6. おかもとえみ「HIT NUMBER」（from 1st Album「ストライク！」2015/11/18）
7. おかもとえみ「ひみつ」（from EP「POOL」2016/06/22）
8. 🎙️
9. おかもとえみ「東京サーチライト」（from 1st Album「ストライク！」2015/11/18）
10. おかもとえみ「もしもを選んだあとで」（from Compilation「モナレコ・コンピ ～かけだしてく～」2015/07/15）
11. 🎙️
12. フレンズ「夜にダンス」（from 1st Mini Album「ショー・チューン」2016/05/25）",2462,"* [「TRUE ROMANCE」](http://ototoy.jp/_/default/p/63970)
* [「ストライク！」](http://ototoy.jp/_/default/a/125396)
* [「POOL」](http://ototoy.jp/_/default/a/125396)",,2560764069721117190,"{""play"": 2512, ""download"": 110, ""commentCount"": 15}"
